ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
1,0,0.000234,0,0.00329,0,0.367,0,0.000706,0.000564,0.0874,0.000425,0.00094,0,0.000645,0.000178,0.000341,0,0,0,0.00072,0.00463,0.00276,0,0,0.00339,0,0.00228,0,0,0.000324,0.000102,0.00196,0.000937,0,0,0,0.000153,0.000778,0.00069,0.00573,0.000863,0,0.00169,0,0.000237,0.000306,0,0,0,0.0504,0,0.021,0.000732,0.00177,0,0.00292,0.0017,0,0.00107,0.00816,0.0509,0.0065,0.00309,0,0,0.00275,0.00387,0,0.00423,0.00128,0,0,0.0023,0.056,0.000795,0,0.00049,0.000767,0.00154,0.00143,0,0,0.00272,0.00849,0.000809,0.00101,0,0.00077,0,0,0,0.000241
2,0,0.000228,0,0.00388,0,0.213,0,0.000698,0.000952,0.0542,0.000268,0.00417,0,0.000308,0,0.000227,0.0000927,0,0,0.0009,0.00521,0.00207,0,0,0.00519,0,0.00481,0,0,0.000108,0,0.000399,0.00103,0.000395,0,0,0,0.00392,0.000599,0.00697,0.00123,0,0.00183,0,0,0.000112,0,0,0.0000789,0.00621,0,0.0314,0,0,0,0.001597,0.00753,0,0.00269,0.0055,0.00509,0.00713,0.00424,0,0,0.00144,0.00464,0,0.00324,0.00431,0,0,0.0341,0.118,0,0.00119,0.0000928,0,0.00324,0.0013,0,0,0.00401,0.00993,0.000777,0.000544,0.000745,0.000755,0,0.00292,0.009,0
3,0,0,0,0,0,0,0,0,0,0.0579,0,0,0,0,0,0.000143,0,0,0,0.00702,0.0506,0,0.000369,0.000273,0.00102,0,0,0,0,0,0,0.00297,0,0,0.00253,0,0,0,0.0015,0.054,0.00277,0.00183,0,0.0521,0.000407,0,0,0,0,0.14,0,0,0.00286,0,0,0,0.00596,0,0,0.0267,0,0.0667,0,0,0.0718,0,0,0,0,0.00306,0,0.00136,0.00503,0,0,0,0,0,0.000531,0,0,0,0.00227,0,0.00113,0,0,0,0.00102,0.00591,0,0.000539
4,0,0.000286,0.00021,0.00254,0,0.241,0,0.001324,0.000476,0.0558,0.000661,0.00354,0,0.000458,0.000119,0.000327,0,0.0005,0,0.00132,0.00449,0.00364,0,0,0.00462,0,0.00247,0.0009,0,0.000558,0,0.000703,0.00112,0,0,0,0,0.00222,0.0005,0.00655,0.0014,0.00083,0.00121,0,0.000141,0.000566,0,0,0.0000752,0.0205,0,0.0522,0.000147,0,0,0.0055,0,0.000943,0,0.00385,0.0075,0.0351,0.00477,0,0,0.00145,0.00397,0,0.00585,0.00271,0,0,0.0068,0.0681,0,0.000414,0.0013,0,0.00184,0.00137,0,0,0.00379,0.0521,0.00161,0.00523,0.00208,0.0563,0.000546,0.00185,0,0.000243
5,0,0,0,0.00492,0,0.183,0,0.000236,0.000658,0.0438,0,0.00108,0,0,0.0000805,0.000417,0,0,0,0.00102,0.004,0.00128,0,0,0.00386,0,0.00131,0,0,0.0000882,0,0.000234,0.000869,0,0,0,0,0,0.00047,0.00556,0.000703,0,0.00137,0,0.000349,0.000115,0,0,0.000112,0.0678,0,0.0436,0.00026,0.000683,0.000443,0.001761,0,0.00562,0.00519,0.00117,0.00086,0,0.00759,0.00436,0,0.00367,0.00178,0.0039,0.00338,0.00317,0,0.0000806,0.00189,0.0808,0.000728,0.000766,0.0000743,0,0.00375,0.00057,0,0,0.00111,0.00871,0.00107,0.000838,0,0,0.000582,0.0508,0,0.005793
6,0,0.00054,0.00014,0.00228,0,0.177,0,0.0014,0.000678,0.0574,0.000538,0.00586,0,0.000423,0.000121,0.000387,0.0000662,0.000113,0,0.00121,0.00543,0.00338,0,0,0.00411,0.00015,0.00225,0,0,0.000444,0.0000665,0.000744,0.00128,0,0,0.0005,0.000155,0.05946,0.00096,0.00901,0.00161,0.00115,0.00149,0.00107,0.000167,0.000253,0.00044,0.00119,0.0001,0.0512,0.00336,0.0298,0.000509,0.000613,0,0.00452,0.00704,0,0.0045,0.00637,0.0552,0.00708,0.00639,0,0,0.00218,0.00224,0,0.00292,0.00258,0.0000765,0.000262,0.00391,0.0906,0.00162,0.000417,0.00116,0,0.00851,0.00192,0,0.0504,0.00649,0.0547,0.00123,0.00488,0.000299,0.00287,0.000413,0.00218,0,0.000247
7,0,0,0,0.00449,0,0.281,0,0.000187,0.000644,0.0375,0,0.00359,0,0,0,0,0,0,0,0.000595,0.00345,0.00148,0,0,0.00287,0,0.00232,0,0,0,0,0.000495,0,0,0,0,0,0.000916,0.0004,0.00457,0.00106,0,0.00108,0,0,0,0,0,0,0.00317,0,0.0511,0,0.000707,0,0.000846,0.00133,0,0.00341,0.00318,0,0.00228,0.00296,0,0,0.00752,0.00113,0,0.0053,0,0,0,0.00211,0.00373,0,0,0,0,0.00381,0.000503,0,0,0.00398,0.0081,0.00108,0.000849,0,0,0,0.0584,0,0.00293
8,0,0,0,0.05,0,0.297,0,0.000199,0,0.0284,0.000146,0,0,0.000291,0.000254,0.000668,0,0,0,0.00147,0.00987,0.00248,0.000309,0,0.00594,0,0,0,0,0,0.000273,0.00122,0.00164,0,0,0,0,0,0.00088,0.0508,0.00263,0.00221,0.00158,0,0.000535,0,0,0.00117,0.000261,0.00364,0,0.0339,0.00167,0,0,0.000781,0.00955,0,0,0.05576,0,0.0053,0.00578,0,0,0.00259,0,0.00102,0.0083,0.0014,0,0,0.00262,0.0524,0.00119,0,0,0,0.00696,0.00149,0,0,0.00369,0.009,0.00162,0.0014,0,0,0.00142,0.0041,0,0
9,0,0,0,0.00671,0,0.266,0,0.000531,0.0015,0.0212,0,0.00198,0,0.000398,0.000177,0.00046,0.00314,0,0,0.00058,0.00657,0.00239,0.0000936,0,0.00623,0,0.00224,0,0.00109,0.000138,0,0.000432,0.00131,0.00127,0.000815,0,0,0,0.00109,0.00857,0.00141,0,0.00224,0,0.000396,0,0,0,0.00159,0.0256,0,0.0532,0.00905,0,0,0.000789,0.00169,0,0,0.00587,0.00139,0.00502,0.00482,0,0,0,0.00235,0,0.00571,0.00363,0,0.000174,0.00314,0.0758,0.00378,0.000707,0.000145,0,0.00611,0.00123,0,0,0,0.0572,0.00183,0.00227,0.00075,0.00222,0.000501,0,0,0
10,0,0,0,0.0212,0,0.136,0.00164,0,0,0.0507,0,0,0.000296,0.000395,0.000226,0.000678,0,0,0,0.00505,0.0503,0.00217,0.000537,0,0.00674,0,0,0,0,0,0.000349,0.00129,0.0027,0,0.00284,0,0.000545,0,0.00101,0.0592,0.00298,0.00288,0.00155,0,0.00125,0,0,0,0.000319,0.0207,0,0.0551,0.00736,0,0,0.0013,0,0.00128,0.05677,0.05803,0,0.00374,0.00719,0,0,0.00363,0,0,0.00873,0.00297,0,0.000262,0.00498,0.00225,0.00517,0,0,0,0.00665,0.00456,0,0,0.00328,0.0537,0.00386,0.00258,0,0,0.00116,0.00511,0,0.00201
11,0,0.000483,0,0.00701,0,0.231,0,0.000437,0.000907,0.0327,0,0.00343,0,0.000355,0.000087,0.000442,0.000338,0.00021,0,0.0006,0.00441,0.0018,0,0,0.00392,0,0.00319,0,0,0,0,0.00234,0.000939,0,0.000573,0,0,0,0.000934,0.0074,0.00155,0.00146,0.00143,0.000569,0,0.000214,0,0.00118,0.000141,0.00277,0,0.0389,0,0,0,0.00242,0.00432,0,0,0.00685,0.00106,0.00504,0.00526,0,0,0,0.00435,0,0.00672,0.00239,0,0,0.00692,0.0419,0,0.00118,0,0,0.00824,0.000535,0,0,0.0041,0.0537,0.00188,0.00225,0,0.000726,0.000339,0.000372,0,0
12,0,0.000315,0,0.00109,0,0.173,0,0.0005,0.000921,0.0266,0,0.00326,0,0.000358,0,0.000246,0,0,0,0.000383,0.00344,0.00137,0,0,0.0032,0,0.00506,0,0,0.000364,0,0.00179,0.00189,0,0,0,0,0.00387,0.00088,0.00666,0.00111,0,0.001,0,0,0.000201,0.000573,0,0.000288,0.00229,0,0.0336,0,0,0,0.00454,0.00408,0,0,0.00648,0.00606,0.00532,0.00506,0,0,0.00152,0.00565,0,0.00459,0.0029,0.0000784,0,0.00734,0.102,0,0.00121,0.0012,0,0.00835,0.000508,0,0,0.00371,0.0541,0.00165,0.00152,0.00101,0.00884,0.000393,0.000716,0,0
13,0,0,0,0.00841,0,0.0295,0,0,0,0.0462,0.000246,0,0,0.000601,0.000277,0.00155,0,0,0,0.00335,0.0576,0.00303,0.000504,0,0.0502,0,0,0,0.00226,0,0.000314,0.00875,0.00641,0,0.00167,0,0,0,0.00171,0.0582,0.00416,0.00921,0.00486,0,0.00122,0.000166,0,0.000449,0,0.0248,0,0.0356,0.00245,0.00205,0,0,0.0558,0,0,0.02941,0,0.148,0.0539,0,0,0.00318,0,0.0025,0.0515,0.00416,0,0.000794,0.00478,0,0.0028,0.00277,0,0.00138,0.00949,0.00254,0,0,0.00547,0.000883,0.00399,0.000512,0.000216,0,0.00314,0.00171,0.00575,0.000631
14,0,0.000302,0.000181,0.00212,0,0.222,0,0.00137,0.000826,0.0238,0.000604,0.00538,0,0.000152,0.000243,0.000595,0.000266,0,0,0.00127,0.00603,0.00183,0,0,0.00583,0,0.00219,0,0.000958,0.000421,0,0.000393,0.0015,0.00246,0.000647,0,0,0.00488,0.000526,0.00652,0.00135,0.000697,0.00202,0.000357,0.000206,0,0.00198,0,0.000313,0.00477,0,0.0819,0,0.00115,0.000439,0.003083,0,0.00742,0,0.00715,0.00957,0.00396,0.00731,0,0,0.00178,0.00339,0,0.00303,0.00096,0,0.00026,0.00166,0.0793,0,0.000657,0.000961,0.00352,0.00678,0.000456,0,0,0.00375,0.0504,0.00104,0.00485,0,0.000361,0.000814,0.00599,0,0.0000897
15,0,0,0.0000798,0.00332,0,0.273,0,0.000419,0.000531,0.0459,0.000136,0.000911,0,0.000133,0.000268,0.00038,0.000264,0,0,0.00157,0.0075,0.00176,0,0,0.00713,0,0.00394,0,0,0.0000941,0.000116,0.000672,0.00247,0.000427,0.000421,0,0.000321,0.000334,0.000718,0.00832,0.00104,0,0.0016,0,0.0000729,0.0000907,0.000314,0,0.00104,0.00348,0,0.034,0,0,0,0.000736,0.0021,0.00242,0,0.004688,0.000967,0.00471,0.00549,0,0.00708,0.00192,0.00236,0,0.00396,0.00166,0,0,0.0019,0.101,0,0.00116,0.000241,0,0.00512,0.000709,0,0,0.00336,0.0507,0.00119,0.00167,0,0.00118,0.0007,0.004,0,0.00113
16,0,0,0,0.00319,0,0.156,0,0.000155,0.000428,0.0248,0,0.00121,0,0.000183,0,0.000244,0.00734,0,0,0.000671,0.00448,0.00155,0,0,0.00394,0,0.00306,0,0,0.000111,0.000869,0,0.00127,0,0,0,0,0,0,0.0061,0.00116,0.00103,0.00102,0,0.00013,0,0,0,0.000225,0.00288,0,0.032,0.000618,0.000791,0,0.000988,0.00398,0,0,0.00878,0.00146,0.00491,0.00393,0,0,0.00155,0.00245,0,0.00784,0.00237,0,0,0.00551,0.186,0.000721,0.00129,0,0,0.00742,0.000664,0,0,0.00273,0.0568,0.00207,0.000562,0,0,0.000946,0.00549,0,0.000246
17,0,0.000391,0.000237,0.0017,0.0000597,0.208,0,0.00265,0.000712,0.0383,0.002494,0.00818,0,0.000521,0.0000546,0.000255,0.00063,0.000364,0,0.000366,0.00331,0.00363,0,0,0.00228,0,0.00372,0.00049,0.000628,0.000571,0,0.000737,0.00117,0.00194,0,0,0,0.00381,0.0006,0.00512,0.00112,0,0.00114,0,0,0.000144,0,0,0,0.0036,0,0.0859,0,0.000803,0,0.00446,0,0,0,0.00847,0.0579,0.171,0.00407,0,0,0,0.00495,0.000375,0.00506,0.0017,0,0.000103,0.00375,0.00701,0,0,0.00107,0,0.00165,0.00043,0,0.000327,0.001,0.00923,0.000939,0.000671,0.000462,0.00531,0.000287,0,0,0
18,0,0,0,0.00656,0,0.191,0,0.0000732,0.000197,0.0435,0,0.00131,0,0,0,0,0,0,0,0.0009,0.00239,0.00137,0,0,0.00154,0,0.000693,0,0,0,0,0.000975,0.000579,0,0,0,0,0,0.0001,0.00312,0.000558,0,0.000506,0.000372,0,0,0,0,0,0.0501,0,0.0398,0.000597,0,0,0.000293,0.00274,0,0,0.00479,0,0.279,0.00294,0,0,0,0.00129,0,0.00275,0.00138,0,0,0.00407,0.053,0,0,0,0,0.00189,0.00119,0,0,0.00444,0.00377,0.00079,0.000679,0.000197,0,0,0,0,0
19,0,0.000283,0,0.00442,0,0.269,0,0.000139,0.000445,0.0546,0,0.00087,0,0.00023,0.00034,0.00104,0,0,0,0.0018,0.00611,0.00133,0,0,0.00433,0,0.00267,0,0,0,0,0.000492,0.00111,0,0,0,0,0,0.0005,0.00562,0.000933,0,0.00156,0.000419,0.000285,0,0,0,0,0.09172,0,0.0588,0.00246,0,0,0.00146,0.0523,0,0,0.00483,0.000635,0.0593,0.0035,0,0,0.00318,0.00106,0,0.00441,0.00355,0,0,0.000645,0.0306,0.00272,0.000373,0.000127,0,0.00324,0.000607,0,0,0.00217,0.00798,0.000924,0.000932,0,0.00483,0.00033,0.00771,0,0.010296
